Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,0-1h,0-1km;0.327673972;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,1-2h,0-1km;0.809864104;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,2-3h,0-1km;1.022227168;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,3-4h,0-1km;1.167742491;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,4-5h,0-1km;1.272261739;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,5-6h,0-1km;1.335999131;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,6-7h,0-1km;1.399736524;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,7-8h,0-1km;1.463473916;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,8-9h,0-1km;1.527210951;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,9-10h,0-1km;1.590948343;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,10-11h,0-1km;1.654685736;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,11-12h,0-1km;1.718423247;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,>12h,0-1km;1.750291705;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,0-1h,1-2km;0.336016059;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,1-2h,1-2km;0.846961319;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,2-3h,1-2km;1.0712744;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,3-4h,1-2km;1.223991275;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,4-5h,1-2km;1.333648443;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,5-6h,1-2km;1.400460482;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,6-7h,1-2km;1.467272758;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,7-8h,1-2km;1.534085751;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,8-9h,1-2km;1.600898623;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,9-10h,1-2km;1.667710662;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,10-11h,1-2km;1.734523773;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,11-12h,1-2km;1.801336527;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;HC;Urban;TØ,>12h,1-2km;1.834742785;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,0-1h,0-1km;1.107850313;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,1-2h,0-1km;2.977736235;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,2-3h,0-1km;4.137652397;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,3-4h,0-1km;5.361876488;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,4-5h,0-1km;6.173165798;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,5-6h,0-1km;6.591219425;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,6-7h,0-1km;7.009273529;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,7-8h,0-1km;7.427325726;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,8-9h,0-1km;7.845380783;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,9-10h,0-1km;8.263432503;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,10-11h,0-1km;8.681483269;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,11-12h,0-1km;9.099541664;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,>12h,0-1km;9.308566093;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,0-1h,1-2km;1.11528182;;;;;
